Timestamp,Location,Vehicle_Count,Average_Speed (km/h),Congestion_Level (%),Accident_Reported,Traffic_Camera_Status,PM2.5 (µg/m³),CO2_Level (ppm),Humidity (%),Temperature (°C),Bus_Location,Bus_Occupancy,Bus_Delay (min),Crime_Incidents,Emergency_Response_Time (min),Power_Consumption (kWh),Renewable_Energy_Usage (%),Social_Media_Mentions,Emergency_Alerts,Water_Supply_Status,Electricity_Status,Waste_Collection_Status
2025-03-05 08:00:00,"40.606888, -73.942885",40,46.31,42.11,No,Inactive,33.68,421.54,53.57,-4.92,"40.89949, -73.792298",47,14.04,1,5.07,4223.97,46.97,14,Severe Weather,Low Pressure,Voltage Fluctuation,On Schedule
2025-03-05 08:05:00,"40.574001, -73.730439",289,78.15,2.31,No,Active,133.54,352.07,35.32,0.84,"40.818137, -73.985432",13,7.26,1,5.14,1280.89,46.22,1,None,Normal,Stable,Delayed
2025-03-05 08:10:00,"40.836555, -73.881807",108,27.83,65.21,No,Active,20.82,429.11,51.15,-0.98,"40.690139, -73.882472",37,5.09,4,14.23,4752.22,41.1,5,Severe Weather,Disruption,Outage,Delayed
2025-03-05 08:15:00,"40.584531, -73.926613",20,34.39,57.01,No,Inactive,48.44,315.4,38.65,-4.43,"40.528695, -73.720018",46,4.55,2,8.79,3198.26,58.95,16,Traffic Accident,Low Pressure,Voltage Fluctuation,On Schedule
2025-03-05 08:20:00,"40.724206, -73.916275",232,43.4,45.75,No,Inactive,52.41,590.86,60.35,-4.25,"40.883917, -73.970904",39,12.44,1,7.66,3070.05,70.93,3,Traffic Accident,Low Pressure,Voltage Fluctuation,Delayed
2025-03-05 08:25:00,"40.894809, -73.825544",284,30.82,61.48,No,Inactive,49.26,323.01,81.52,-1.71,"40.606819, -73.79056",18,11.95,2,8.35,4714.06,43.27,4,Traffic Accident,Normal,Stable,Delayed
2025-03-05 08:30:00,"40.796295, -73.740825",60,28.22,64.72,No,Inactive,134.86,446.57,57.83,36.58,"40.582702, -73.773602",99,3.68,5,12.36,1802.01,62.65,0,Public Safety Issue,Low Pressure,Voltage Fluctuation,On Schedule
2025-03-05 08:35:00,"40.86493, -73.899329",114,16.99,78.76,No,Active,124.49,511.45,33.99,36.44,"40.848499, -73.825145",25,6.14,4,12.26,2137.16,55.21,3,None,Normal,Voltage Fluctuation,On Schedule
2025-03-05 08:40:00,"40.592989, -73.815332",70,57.1,28.62,No,Active,74.16,371.3,45.14,17.63,"40.82353, -73.792436",39,10.64,5,13.8,4838.09,74.78,16,Traffic Accident,Low Pressure,Outage,Missed Pickup
2025-03-05 08:45:00,"40.583333, -73.816272",151,25.16,68.55,No,Inactive,63.61,555.01,72.9,26.36,"40.749087, -73.786744",91,0.47,5,3.16,4957.5,43.93,3,None,Low Pressure,Outage,Delayed
